emp_no,first_name,last_name,title,from_date,to_date
25906,Bokyung,Gulak,Senior Engineer,1993-11-12,9999-01-01
25909,Mabry,Fendler,Engineer,1995-09-24,2000-09-23
25916,Randy,Krogh,Senior Staff,2000-10-24,9999-01-01
25936,Siddarth,Ecklund,Senior Staff,1989-01-12,9999-01-01
25937,Angus,Bodoff,Senior Engineer,1987-06-06,9999-01-01
25963,Jiakeng,Fandrianto,Senior Staff,1999-07-08,9999-01-01
25972,Demos,Escriba,Technique Leader,1991-08-25,9999-01-01
25990,Suzette,Kroll,Senior Staff,1995-02-28,9999-01-01
26013,Martijn,Malabarba,Engineer,1999-06-16,9999-01-01
26017,Filipe,Pauthner,Staff,1999-12-01,2000-01-25
26020,Deborah,Moffat,Senior Staff,2001-07-03,9999-01-01
26043,Ortrun,Zielinski,Senior Staff,2001-10-03,9999-01-01
26093,Abdelwaheb,Maierhofer,Technique Leader,1993-04-05,1997-06-08
26113,Larisa,Brandsma,Staff,1997-11-18,9999-01-01
26131,Manu,Rahimi,Engineer,1989-05-10,1996-05-10
26137,Lokesh,Gelosh,Senior Engineer,1996-09-14,9999-01-01
26140,Phule,Stemann,Engineer,1995-04-21,2000-04-20
26153,Reuven,Bernini,Engineer,1988-05-14,1993-05-14
26162,Yechiam,Grospietsch,Senior Engineer,1985-07-26,9999-01-01
26168,Frazer,Koblitz,Staff,1999-09-10,9999-01-01
26178,Zissis,Gladwell,Engineer,1989-08-19,1994-08-19
26188,Karlis,Hartvigsen,Senior Staff,1987-04-24,9999-01-01
26190,Akeel,Heuter,Staff,1997-09-18,9999-01-01
26194,Anwar,Spinelli,Senior Staff,1993-09-01,2001-08-24
26205,Jingling,Redmiles,Staff,1998-03-02,1999-07-28
26235,Jianhui,Gunderson,Senior Staff,1994-09-04,9999-01-01
26248,Takanari,Junet,Technique Leader,1996-05-12,9999-01-01
26253,Gopalakrishnan,Alblas,Staff,1995-04-26,9999-01-01
26264,Sachio,Speckmann,Senior Staff,1990-12-28,9999-01-01
26271,Yonghoan,Crabtree,Senior Staff,1999-06-09,9999-01-01
26289,Baoqiu,Michaels,Engineer,1987-04-24,1993-04-23
26333,Heather,Conta,Engineer,1996-02-12,9999-01-01
26340,Pradeep,Bahl,Senior Engineer,1998-03-30,9999-01-01
26373,Brewster,Bottner,Assistant Engineer,1991-05-30,1998-05-30
26384,Macha,Picci,Senior Staff,1994-09-05,9999-01-01
26398,Fay,Flowers,Senior Staff,1995-05-28,9999-01-01
26408,Luisa,Khasidashvili,Senior Staff,1998-06-18,9999-01-01
26428,Foong,Delgrossi,Engineer,1995-05-27,9999-01-01
26432,Honesty,Krichel,Staff,1997-10-10,9999-01-01
26444,Yoshimitsu,Heuter,Engineer,1997-10-17,9999-01-01
26470,Toshimi,Danley,Engineer,1988-07-13,1996-07-13
26488,Zdislav,Perly,Senior Staff,1998-05-06,9999-01-01
26502,Bader,Maccarone,Engineer,1999-09-29,2000-03-24
26506,Mabry,Cangellaris,Senior Staff,2001-08-13,9999-01-01
26508,Divier,Sambasivam,Engineer,1988-02-14,1993-02-13
26529,Fuqing,Taubman,Technique Leader,1988-03-11,1990-10-10
26547,Temple,Eldridge,Engineer,1992-12-25,1998-12-25
26553,Kellie,Kaelbling,Engineer,1999-08-03,2002-01-20
26569,Zvonko,Penttonen,Senior Engineer,1989-09-27,9999-01-01
26585,Stella,Rettelbach,Senior Staff,1993-05-30,9999-01-01
26590,Adhemar,Beilner,Staff,1999-10-29,9999-01-01
26646,Ottavia,Muhling,Senior Staff,2001-05-05,9999-01-01
26667,Moon,Schrift,Senior Engineer,1988-02-01,9999-01-01
26668,Berhard,Bahk,Senior Staff,1993-04-30,9999-01-01
26684,Yaghout,Hashii,Staff,1997-02-22,1997-07-07
26729,Pantung,Smeets,Engineer,1995-01-13,2001-01-12
26730,Chirstian,Oskamp,Engineer,1997-05-14,9999-01-01
26751,Demin,Mersereau,Staff,1994-08-23,9999-01-01
26754,Lucien,Kowalchuk,Assistant Engineer,1999-12-03,9999-01-01
26763,Tuval,Dusink,Engineer,1985-12-10,1989-03-15
26778,Zeljko,Scharstein,Staff,1985-12-11,1991-06-10
26789,Badri,Danley,Engineer,1988-03-20,1996-03-20
26811,Prodip,Farrow,Senior Staff,1996-01-28,9999-01-01
26812,Licheng,Noriega,Engineer,1986-12-04,1993-12-04
26819,Maria,Picaronny,Engineer,1998-02-24,9999-01-01
26827,Elvia,Roisin,Engineer,1999-09-20,9999-01-01
26829,Becky,McAlpine,Technique Leader,1995-12-18,1996-08-15
26833,Hirochika,Gustavson,Senior Staff,1999-11-07,9999-01-01
26836,Alassane,Hofstetter,Senior Staff,1999-12-12,9999-01-01
26846,Ewing,Chinal,Assistant Engineer,1985-08-20,1992-08-20
26848,Boalin,Pollacia,Engineer,1999-04-26,9999-01-01
26871,Marco,Perry,Technique Leader,1996-12-08,9999-01-01
26881,Jiafu,Petersohn,Staff,1991-06-27,1997-05-11
26889,Ipke,Matheson,Senior Engineer,1988-04-13,1989-02-13
26906,Conor,Koyama,Senior Staff,1995-09-06,9999-01-01
26916,Constantino,Asmuth,Engineer,1989-11-15,1997-11-15
26935,Moti,Przulj,Engineer,1986-01-06,1993-01-06
26958,Juichirou,Raoux,Senior Engineer,1987-08-11,9999-01-01
27004,Yunming,Greenaway,Senior Staff,2001-02-26,9999-01-01
27009,Yakichi,Oehlmann,Technique Leader,1985-02-13,1993-09-28
27015,Dines,Larfeldt,Staff,1998-08-20,1998-10-22
27054,Jongsuk,Cannata,Engineer,1999-02-11,2001-10-31
27055,Yaghout,Dulay,Senior Staff,1994-07-17,9999-01-01
27112,Yechezkel,Anily,Engineer,1988-06-02,1995-06-03
27118,Anestis,Azadmanesh,Senior Engineer,1989-09-03,9999-01-01
27154,Jinxi,Gaughan,Senior Staff,1998-04-28,9999-01-01
27187,Hercules,Slobodova,Engineer,1998-01-31,2001-04-21
27219,Lena,Snedden,Senior Staff,1988-07-24,1990-04-07
27244,Karlis,Segond,Senior Staff,1998-02-23,9999-01-01
27249,Martins,Kushnir,Senior Staff,1986-09-10,9999-01-01
27254,Trygve,Sewelson,Senior Engineer,1986-10-19,9999-01-01
27255,Yannis,Kropf,Staff,1998-09-11,9999-01-01
27259,Michaela,Lipner,Staff,2000-01-04,9999-01-01
27264,Barry,Valiente,Staff,1990-08-01,1994-06-11
27319,Adin,Bashian,Senior Staff,1996-12-05,9999-01-01
27324,Sven,Merro,Engineer,1989-08-23,1995-08-23
27330,Cedric,Lowrie,Engineer,1998-11-30,9999-01-01
27332,Charmane,Merey,Engineer,1987-01-14,1994-01-14
27337,Mads,Undy,Engineer,1997-08-13,9999-01-01
27339,Mohammad,Katalagarianos,Engineer,1990-03-09,1996-03-08
27340,Remzi,Rahimi,Technique Leader,1993-05-26,9999-01-01
27364,Vojin,Sooriamurthi,Engineer,1996-07-26,9999-01-01
27380,Shalesh,Merro,Staff,1998-01-13,1999-03-19
27383,Christfried,Demri,Senior Engineer,1994-06-23,1999-01-19
27388,Armond,Yemenis,Engineer,1993-09-13,2000-09-13
27434,Hein,Comte,Engineer,1991-04-09,1996-04-08
27435,Toshimori,Sethi,Staff,1993-08-05,1995-06-23
27446,Heon,Levergood,Senior Staff,1995-09-16,9999-01-01
27482,Janalee,Zeleznik,Senior Engineer,1999-10-22,9999-01-01
27492,Guoxiang,Provine,Senior Engineer,1997-08-21,9999-01-01
27497,Sailaja,Uhrig,Senior Engineer,1995-11-22,9999-01-01
27506,Hugo,Mitchem,Senior Staff,1997-12-03,9999-01-01
27510,Kensei,Esposito,Senior Engineer,1997-04-29,1998-07-12
27528,Martijn,Baranowski,Technique Leader,1995-09-07,9999-01-01
27553,JoAnna,Penttonen,Senior Staff,1996-03-20,9999-01-01
27555,Murthy,Kading,Engineer,1999-03-18,9999-01-01
27564,Demin,Yoshizawa,Engineer,1995-09-09,2000-09-08
27574,Pantung,Farris,Senior Staff,1999-03-15,2001-04-07
27619,Ronghao,Poulakidas,Senior Staff,2001-11-15,9999-01-01
27628,Stafford,Blokdijk,Engineer,2000-02-01,9999-01-01
27642,Muneo,Zockler,Engineer,1986-08-11,1992-08-10
27652,Jacqueline,Matteis,Senior Staff,2001-10-08,9999-01-01
27658,Fabrizio,Pargaonkar,Technique Leader,1995-06-11,9999-01-01
27659,Wojceich,Werthner,Senior Engineer,1996-06-18,9999-01-01
27664,Percy,Zolotykh,Engineer,1993-07-20,2001-07-20
27725,DAIDA,Pavlopoulou,Staff,1998-11-11,9999-01-01
27776,Baruch,Ramras,Engineer,1992-07-02,2001-07-02
27780,Siamak,Simkin,Senior Staff,1993-04-29,9999-01-01
27783,Christoper,Strehl,Senior Staff,2000-11-09,9999-01-01
27785,Feipei,Mukaidono,Staff,1997-11-22,9999-01-01
27793,Paraskevi,Merlo,Staff,1986-05-02,1987-09-12
27817,Uri,Lakshmanan,Senior Staff,2001-08-24,9999-01-01
27819,Vidya,Zhiwei,Engineer,1990-02-23,1999-02-23
27856,Lokesh,Holburn,Senior Engineer,1995-11-02,9999-01-01
27880,Yinlin,Poujol,Senior Engineer,1998-12-19,9999-01-01
27897,Mabo,Melski,Engineer,1990-03-01,1999-03-01
27939,Seongbae,Axelband,Engineer,1991-12-10,1999-12-10
27942,Tianruo,Orlowska,Senior Staff,1999-11-12,9999-01-01
27958,Uno,Hasham,Engineer,1985-08-02,1990-08-02
27959,Moheb,Dusink,Engineer,1986-09-13,1993-09-13
27975,Remmert,Rehfuss,Senior Engineer,1991-07-30,9999-01-01
27978,Sedat,Unni,Engineer,1985-08-29,1990-08-29
28001,Sachar,Slutz,Senior Staff,2000-05-23,9999-01-01
28035,Florina,Merro,Assistant Engineer,1999-09-13,9999-01-01
28139,Theron,Merkl,Engineer,1988-05-11,1995-05-12
28161,Kwan,Nicolson,Senior Staff,1996-06-04,9999-01-01
28186,Junichi,Georgatos,Technique Leader,1998-12-27,9999-01-01
28207,Sakthirel,Ebeling,Engineer,1986-09-12,1993-09-12
28224,Debatosh,Crabtree,Senior Staff,1998-04-14,9999-01-01
28243,Marsal,Jording,Engineer,1997-04-16,2002-04-16
28249,Goh,Badr,Engineer,1992-06-01,1997-06-01
28256,Armond,Valiente,Technique Leader,1994-02-13,9999-01-01
28271,Sugwoo,Wynblatt,Engineer,1990-01-26,1995-01-26
28283,Quingbo,Dulay,Engineer,1997-02-10,9999-01-01
28298,Holgard,Ritcey,Senior Staff,1996-07-03,9999-01-01
28301,Adil,Brickell,Staff,1996-12-07,2001-11-26
28306,Wilmer,Papsdorf,Senior Engineer,1996-08-29,9999-01-01
28350,Theron,Heusch,Senior Staff,1994-06-07,9999-01-01
28352,Urs,Pero,Assistant Engineer,1990-11-25,1998-11-25
28354,Geoffrey,Prochazka,Senior Engineer,1986-10-22,9999-01-01
28369,Ronghao,Nourani,Senior Staff,1996-04-02,9999-01-01
28373,Steen,Bhattacharjee,Senior Staff,1993-11-29,9999-01-01
28383,Gladys,Chimia,Senior Staff,1997-10-09,9999-01-01
28385,Filipp,Conia,Senior Staff,1993-07-30,9999-01-01
28386,Snehasis,Spelt,Engineer,1990-03-09,1996-03-08
28440,Cordelia,Tomescu,Senior Staff,2001-02-24,9999-01-01
28450,Howell,Genin,Senior Staff,1998-06-05,1999-08-03
28455,Isaac,Anguita,Engineer,1999-06-14,2000-01-30
28468,Zorica,Hasham,Senior Staff,1996-07-04,9999-01-01
28474,Mabo,Arlazarov,Senior Engineer,1996-01-09,2000-05-22
28479,Nahum,Bondorf,Senior Staff,2001-04-17,9999-01-01
28498,Khun,Rosaz,Staff,1998-04-27,9999-01-01
28510,Subhankar,Desikan,Technique Leader,1988-11-25,9999-01-01
28540,Jiang,Ladret,Engineer,1995-10-23,9999-01-01
28554,Barry,Salverda,Senior Engineer,1990-12-25,9999-01-01
28561,Basem,Speek,Staff,1998-12-03,9999-01-01
28565,Rosalie,Bain,Senior Staff,2001-06-19,9999-01-01
28596,Perla,Porotnikoff,Senior Staff,1995-04-07,9999-01-01
28613,Giao,Stemann,Senior Engineer,1998-11-24,9999-01-01
28619,Pragnesh,Majewski,Staff,1998-12-05,9999-01-01
28626,Junichi,Tramer,Engineer,1991-07-18,1999-07-18
28635,Serap,Kermarrec,Assistant Engineer,1991-11-09,1997-11-08
28645,Djelloul,Decleir,Senior Engineer,1999-11-21,9999-01-01
28659,Tetsushi,Schapiro,Staff,1986-05-01,1987-09-01
28665,Gro,Ruemmler,Engineer,1995-09-08,2000-09-07
28681,Danny,Dalton,Engineer,1990-10-01,1997-10-01
28689,Jessie,Lores,Senior Staff,2000-02-02,9999-01-01
28705,Nadjib,Skrikant,Engineer,1989-01-16,1997-01-16
28761,Xiping,Birdsall,Senior Staff,1999-04-24,9999-01-01
28763,Selwyn,Bojadziev,Senior Staff,1998-07-08,9999-01-01
28773,Tomokazu,Polupanov,Senior Engineer,1986-03-19,9999-01-01
28776,Stevo,Narlikar,Engineer,1990-09-14,1998-09-14
28785,Changho,Gilg,Engineer,1992-05-08,2000-05-08
28816,Jenwei,Einsfeld,Staff,1993-09-14,1997-07-21
28818,Hongzhu,Panienski,Engineer,1992-01-13,1999-01-13
28834,Gil,Vickson,Engineer,1999-01-14,9999-01-01
28844,Chiranjit,Hiltgen,Engineer,1992-04-17,1999-04-18
28854,Petter,Siochi,Senior Engineer,1998-03-11,1998-11-20
28857,Zissis,Murillo,Senior Engineer,1999-04-13,9999-01-01
28861,Jaber,Walston,Senior Staff,2002-03-29,9999-01-01
28868,Ennio,Lichtman,Engineer,1995-06-03,2002-06-03
28878,Gino,Sudkamp,Staff,1996-07-11,1997-11-03
28882,Bodo,Nanard,Senior Engineer,1992-11-03,9999-01-01
28886,Krister,Schnabel,Senior Staff,2001-04-24,9999-01-01
28893,Khue,Yurov,Senior Engineer,1994-01-26,9999-01-01
28897,Ennio,Schieder,Engineer,1998-03-06,9999-01-01
28915,Demos,Cooke,Staff,1994-11-29,1999-07-28
28922,Xiadong,Willoner,Engineer,1999-07-03,9999-01-01
28930,Isaac,Schade,Engineer,1997-07-17,9999-01-01
28968,Shalesh,Gerteisen,Engineer,1998-11-11,9999-01-01
28975,Weijing,McConalogue,Senior Staff,1993-05-20,9999-01-01
28978,Vojin,Giarratana,Senior Staff,1999-02-16,9999-01-01
29003,Weicheng,Erol,Assistant Engineer,1995-11-05,9999-01-01
29024,Qunsheng,Itzigehl,Engineer,1988-05-21,1997-05-21
29057,Yongdong,Kitai,Senior Engineer,1996-01-04,9999-01-01
29101,Jouni,Salverda,Engineer,1987-09-24,1996-09-23
29104,DeForest,Validov,Engineer,1993-03-21,2000-03-21
29129,Poorav,Stassinopoulos,Senior Staff,1994-05-26,9999-01-01
29161,Youssef,Foote,Engineer,1997-08-31,9999-01-01
29171,Syozo,Baaleh,Senior Staff,1989-01-30,9999-01-01
29182,Arumugam,Aamodt,Senior Staff,1992-01-09,9999-01-01
29191,Ayakannu,Krogh,Engineer,1999-12-07,9999-01-01
29194,Sarita,Peris,Engineer,1990-10-22,1997-10-22
29197,Marlo,Stentiford,Staff,1993-12-18,9999-01-01
29206,Yunming,Chimia,Engineer,1996-11-18,2001-11-18
29236,Radhia,Felcyn,Engineer,1994-02-17,9999-01-01
29250,Radoslaw,Besancenot,Senior Staff,1995-06-26,9999-01-01
29253,Mingzeng,Eastman,Engineer,1995-05-01,2002-05-01
29312,Yefim,Feldhoffer,Engineer,1997-10-29,9999-01-01
29318,Bernardo,Karlin,Engineer,1989-05-15,1994-05-15
29323,Khedija,Pillow,Staff,1993-07-20,2000-01-10
29329,Takushi,Sooriamurthi,Engineer,1989-10-14,1998-10-14
29353,Gaetan,Gadepally,Engineer,1985-07-31,1991-07-31
29354,Syozo,Nooteboom,Senior Staff,1995-02-28,9999-01-01
29366,Domenico,Ohori,Senior Staff,1993-06-19,9999-01-01
29371,Hyuncheol,Bottner,Senior Staff,1999-12-31,9999-01-01
29389,Takushi,Swist,Senior Staff,1997-07-05,9999-01-01
29406,Troy,Haraldson,Senior Staff,2002-06-17,9999-01-01
29410,Heejo,Munke,Senior Engineer,1989-05-08,9999-01-01
29422,Yurij,Yurek,Engineer,1999-05-09,2000-08-07
29430,Heeju,Schonegge,Engineer,1993-02-24,2002-02-24
29431,Jeong,Bresenham,Senior Staff,1999-08-18,9999-01-01
29437,Rildo,Rosca,Staff,1993-11-01,1995-07-12
29445,Nidapan,Rodham,Engineer,1987-01-01,1996-01-01
29456,Barun,Krohm,Staff,1998-03-01,9999-01-01
29479,Make,Lampe,Staff,1996-12-17,2000-09-27
29486,Jouni,Gerteisen,Senior Engineer,1985-06-03,9999-01-01
29488,Niclas,Eastman,Technique Leader,1988-06-24,9999-01-01
29495,Mizuhito,Morrey,Senior Staff,1995-11-19,9999-01-01
29499,Richard,Schwartzburd,Assistant Engineer,1999-09-07,9999-01-01
29511,Sadegh,Taubman,Engineer,1998-10-13,9999-01-01
29513,Genki,Cusworth,Engineer,1985-07-08,1990-07-08
29514,Margareta,Riefers,Technique Leader,1991-05-07,1997-03-14
29515,Kish,Karcich,Engineer,1989-12-30,1996-12-30
29528,Takahira,Matzel,Engineer,1997-04-14,1998-03-24
29529,Leni,Coors,Engineer,1997-07-14,9999-01-01
29574,Gretta,Klyachko,Senior Engineer,1998-01-13,9999-01-01
29583,Subhada,Waymire,Senior Staff,1993-07-16,9999-01-01
29597,Yoshinari,Codenie,Engineer,1985-04-25,1990-04-25
29666,Yonghong,Thummel,Senior Staff,2002-03-24,9999-01-01
29687,Leandro,Garnier,Staff,1994-03-10,2000-09-03
29706,Giordano,Farrow,Engineer,1990-10-02,1995-10-02
29785,Noritoshi,Rajala,Engineer,1989-01-08,1995-11-01
29789,Mong,Meszaros,Senior Staff,1999-05-03,2001-01-06
29797,Selwyn,Krzyzanowski,Technique Leader,1988-10-18,9999-01-01
29799,Weiyi,Kroon,Staff,1997-03-05,9999-01-01
29802,Herb,Paciorek,Engineer,1995-06-07,2001-06-06
29807,Kazuhiko,Peltason,Staff,1998-11-25,2001-10-02
29810,Arne,Madeira,Engineer,1986-11-25,1993-11-25
29811,Erzsebet,Kohling,Technique Leader,1987-12-17,9999-01-01
29822,Prodip,Sifakis,Staff,1990-05-29,1995-09-06
29829,Pranjal,Pepe,Engineer,1985-03-28,1992-03-28
29833,Georgi,Kawashima,Engineer,1994-03-05,1994-12-23
29836,Kazuhiko,Ossenbruggen,Senior Staff,1998-10-21,9999-01-01
29856,Yuichiro,Pardalos,Senior Engineer,1988-09-23,9999-01-01
29865,Mingsen,Genther,Senior Staff,1999-05-05,9999-01-01
29870,Troy,Stranks,Staff,1997-03-05,9999-01-01
29873,Monique,Aloisi,Engineer,1991-12-10,2000-12-09
29877,Mingsen,Kitai,Senior Staff,1994-06-02,9999-01-01
29887,Boaz,Fandrianto,Senior Staff,1992-10-09,1998-11-07
29890,Stabislas,Lores,Senior Staff,1992-01-27,9999-01-01
29902,Kasturi,Asser,Senior Staff,1987-12-05,9999-01-01
29905,Guther,Koyama,Senior Staff,1996-12-27,9999-01-01
29909,Arvind,Menyhert,Staff,1993-05-18,2000-10-15
29911,Jiafu,Schnelling,Senior Staff,1997-01-23,9999-01-01
29916,Boaz,Escriba,Technique Leader,1997-09-10,9999-01-01
29927,Kwun,Schiettecatte,Senior Staff,2001-05-14,9999-01-01
29938,Mariusz,Serna,Engineer,1993-02-03,1999-02-03
29991,Aral,Rosenbaum,Senior Staff,1995-07-12,9999-01-01
30003,Takahito,Vilarrasa,Senior Staff,1998-01-06,9999-01-01
30016,Nathan,Nastansky,Senior Engineer,1996-09-24,9999-01-01
30021,Martijn,Rosca,Senior Staff,1996-06-01,9999-01-01
30025,Jianhao,Mansanne,Senior Staff,1991-10-20,1995-04-30
30039,Ronghao,Antonisse,Engineer,1989-02-07,1995-02-07
30047,Utpal,Schlumberger,Senior Staff,1999-08-17,9999-01-01
30085,Emdad,Rothenberg,Senior Staff,1997-07-11,2000-09-19
30101,Berni,Olano,Technique Leader,1986-12-23,9999-01-01
30103,Murthy,Gini,Senior Staff,1997-01-10,9999-01-01
30106,Zeljko,Yamaashi,Engineer,1999-03-21,9999-01-01
30107,Sungwon,Reinhard,Engineer,1995-04-10,1996-02-02
30110,Shai,Gelosh,Engineer,1986-03-30,1988-01-31
30120,Francoise,Ghelli,Engineer,1998-01-18,9999-01-01
30136,Unal,Baranowski,Senior Staff,1986-10-08,9999-01-01
30148,Lakshmi,Linnainmaa,Senior Staff,1993-08-10,9999-01-01
30161,Muzhong,Gimarc,Senior Engineer,1999-12-21,2000-05-18
30206,Toong,Mandelberg,Senior Staff,1988-04-07,9999-01-01
30220,Marjo,Bouloucos,Engineer,1997-09-04,9999-01-01
30223,Jasminko,Melski,Engineer,1992-04-17,1997-04-17
30231,Heon,Cichocki,Engineer,1989-03-03,1995-03-03
30253,Renee,Valette,Senior Staff,1993-05-02,9999-01-01
30260,Trygve,Feinberg,Senior Staff,1997-08-12,9999-01-01
30274,Hironoby,Chiola,Engineer,1986-03-07,1995-03-07
30283,Zeydy,Juneja,Engineer,1987-07-25,1992-07-24
30305,Pramod,Chappelet,Senior Staff,1996-05-30,9999-01-01
30309,Jayesh,Azevdeo,Staff,1997-04-12,9999-01-01
30313,Srinidhi,Candan,Engineer,1992-10-31,2000-10-31
30314,Quingbo,Beutelspacher,Assistant Engineer,1996-06-16,9999-01-01
30351,Djenana,Blokdijk,Senior Staff,1991-07-15,9999-01-01
30358,Phuoc,Radhakrishnan,Technique Leader,1989-10-05,9999-01-01
30364,Miquel,Byoun,Engineer,1988-06-26,1997-06-26
30380,Jianhao,Templeman,Engineer,1996-11-28,9999-01-01
30418,Adit,Perl,Senior Staff,1996-08-31,9999-01-01
30466,Sumant,Giaccio,Senior Staff,1999-02-20,9999-01-01
30470,Siamak,Jayawardene,Engineer,1990-07-30,1999-07-30
30497,Youjian,Pettis,Senior Staff,1994-07-08,9999-01-01
30509,Keiichiro,Comellas,Senior Staff,1993-04-29,9999-01-01
30513,Eric,Limongiello,Senior Staff,1989-04-18,1997-09-28
30515,Surveyors,Walstra,Senior Staff,1999-06-23,9999-01-01
30521,Tetsushi,Kroha,Engineer,1997-07-24,9999-01-01
30525,Snehasis,Matzen,Senior Staff,1991-10-18,9999-01-01
30537,Bluma,Gini,Engineer,1986-10-19,1993-10-19
30550,Quingbo,Hofstetter,Engineer,1998-12-04,2001-07-01
30559,Moss,Neimat,Senior Staff,2000-01-26,9999-01-01
30571,Ziva,Bonifati,Engineer,1997-07-31,9999-01-01
30576,Christfried,Heijenga,Assistant Engineer,1989-09-28,1997-09-28
30582,Oscar,Kavanagh,Engineer,1997-12-20,9999-01-01
30592,Bernt,Mapelli,Engineer,1992-07-24,1998-02-21
30620,Dung,Niizuma,Engineer,1991-06-03,1998-06-03
30622,Naftali,Perko,Senior Engineer,1987-01-12,9999-01-01
30634,Patricio,Farrel,Senior Engineer,1987-12-06,9999-01-01
30645,Saddek,Herbst,Engineer,1996-04-18,9999-01-01
30649,Baruch,Peron,Technique Leader,1995-10-20,9999-01-01
30662,Basil,Pouyioutas,Senior Staff,1997-02-26,9999-01-01
30664,Jixiang,Peot,Engineer,1991-01-10,1996-01-10
30670,Lillian,Zizka,Staff,1997-06-27,9999-01-01
30712,Lijie,Byoun,Senior Engineer,1993-05-10,9999-01-01
30727,Toshimitsu,Sury,Senior Staff,1994-08-25,9999-01-01
30744,Khatoun,Fadgyas,Senior Staff,1997-04-15,9999-01-01
30747,Uma,Laurillard,Engineer,1993-03-08,1999-03-08
30749,Sangeeta,Acton,Technique Leader,1990-08-08,1996-06-27
30753,Cullen,Khalid,Senior Engineer,1995-05-30,9999-01-01
30764,Heping,Qiwen,Senior Engineer,1990-06-13,9999-01-01
30769,Berry,Frolund,Senior Staff,1994-01-11,9999-01-01
30775,Susanna,Ecklund,Engineer,1999-03-13,9999-01-01
30788,Kazuhisa,Schaft,Senior Staff,2000-07-21,9999-01-01
30791,Xiong,Ariola,Technique Leader,1986-09-13,9999-01-01
30808,Tristan,Chepyzhov,Senior Engineer,1990-03-05,9999-01-01
30809,Zengping,Kermarrec,Engineer,1999-10-04,9999-01-01
30829,Kagan,Schaft,Engineer,1992-03-07,1999-03-08
30834,Van,Erdi,Senior Staff,1994-10-08,9999-01-01
30846,Nidapan,Montresor,Engineer,1987-10-22,1994-10-22
30853,Jasminko,Bade,Staff,1992-05-10,1995-03-09
30864,Remco,Sigstam,Senior Staff,1994-09-16,1999-04-07
30910,Luise,Zastre,Engineer,1996-06-27,2001-06-27
30915,Tomoyuki,Sabnani,Engineer,1997-05-07,9999-01-01
30919,Leen,Cochrane,Engineer,1992-05-22,1998-05-22
30958,Sham,Jayawardene,Engineer,1989-08-20,1996-08-20
30969,Berry,Imataki,Senior Staff,1996-08-17,9999-01-01
30998,Zhongwei,Ebeling,Engineer,1988-05-14,1997-05-14
31005,Ulises,Gustavson,Senior Engineer,1997-08-12,9999-01-01
31017,Geoffry,Kitsuregawa,Staff,1997-11-17,9999-01-01
31019,Arve,Junot,Engineer,1989-12-16,1998-12-16
31038,Arvin,Birnbaum,Senior Staff,1994-04-19,1997-07-29
31089,Kshitij,Cannane,Senior Staff,1985-06-13,9999-01-01
31091,Tua,Rebaine,Engineer,1999-02-07,9999-01-01
31106,Oscal,Kulisch,Senior Staff,1991-03-25,9999-01-01
31122,Remko,Ghemri,Engineer,1991-11-21,1998-11-21
31128,Serif,Frolund,Assistant Engineer,1996-02-21,9999-01-01
31176,Brewster,Narahari,Senior Engineer,1997-12-25,9999-01-01
31189,Shounak,Erdmenger,Senior Staff,1994-01-31,9999-01-01
31196,Barry,Emmart,Senior Engineer,1988-10-03,9999-01-01
31204,Berry,Murillo,Engineer,1998-09-17,2000-09-13
31212,Weicheng,Eppinger,Senior Staff,1998-10-30,9999-01-01
31227,Aluzio,McConalogue,Engineer,1987-01-26,1992-01-26
31230,Dzung,Klyachko,Staff,1999-07-02,2001-12-14
31233,Hatem,Waschkowski,Senior Engineer,1992-08-13,9999-01-01
31278,Chaosheng,Delaune,Senior Staff,1999-08-11,2000-08-21
31286,Marsha,Magliocco,Engineer,1986-06-03,1991-06-03
31289,Zhigen,Luiz,Senior Staff,1992-12-14,9999-01-01
31292,Elgin,Terlouw,Engineer,1986-07-18,1991-07-18
31321,Gretta,Gelosh,Engineer,1989-03-29,1995-03-29
31328,Shigeo,Matzov,Assistant Engineer,1990-03-26,1995-03-26
31344,Saddek,Gerteisen,Senior Staff,1993-04-29,9999-01-01
31361,Jouko,Danley,Staff,1999-02-25,9999-01-01
31371,Feixiong,Hartvigsen,Senior Engineer,1986-05-20,9999-01-01
31373,Nevin,Wuwongse,Engineer,1997-05-19,9999-01-01
31390,Fei,Liedekerke,Staff,1998-04-03,9999-01-01
31394,Martial,Lieberherr,Staff,1996-06-25,9999-01-01
31402,Stabislas,Cools,Engineer,1986-12-19,1993-12-19
31410,Mountaz,Iwayama,Assistant Engineer,1988-09-25,1996-09-25
31411,Moheb,Zaumen,Staff,1996-02-06,9999-01-01
31414,Arunachalam,Erol,Staff,1995-08-12,9999-01-01
31425,Mohammad,Anger,Staff,1987-05-06,1988-06-09
31436,Odinaldo,Plessier,Engineer,1998-08-25,9999-01-01
31503,Kyoichi,Xiaoshan,Senior Staff,2001-05-08,9999-01-01
31513,Toshiko,Menhardt,Engineer,1997-11-20,9999-01-01
31537,Mohd,Schahn,Technique Leader,1989-07-10,9999-01-01
31546,Isamu,Silva,Engineer,1987-01-19,1992-01-19
31577,Xiahua,Munro,Senior Staff,2002-05-05,9999-01-01
31582,Duro,Underwood,Senior Engineer,1997-12-08,1998-12-10
31593,Kamakshi,Merey,Engineer,1995-04-07,2001-04-06
